Elevation,Aspect,Slope,Horizontal_Distance_To_Hydrology,Vertical_Distance_To_Hydrology,Horizontal_Distance_To_Roadways,Hillshade_9am,Hillshade_Noon,Hillshade_3pm,Horizontal_Distance_To_Fire_Points,Wilderness_Area1,Wilderness_Area2,Wilderness_Area3
2790.0,330.0,15.0,153.0,26.0,1567.0,183.0,220.0,176.0,1495.0,0.0,0.0,1.0
2824.0,27.0,16.0,492.0,11.0,3275.0,212.0,204.0,125.0,2544.0,0.0,0.0,1.0
2757.0,1.0,18.0,134.0,21.0,895.0,191.0,203.0,147.0,1964.0,0.0,0.0,1.0
2669.0,38.0,14.0,350.0,25.0,3208.0,219.0,208.0,121.0,2995.0,0.0,0.0,1.0
2712.0,17.0,24.0,366.0,-29.0,2880.0,192.0,182.0,118.0,2457.0,0.0,0.0,1.0
2801.0,18.0,11.0,604.0,79.0,3330.0,211.0,216.0,141.0,2700.0,0.0,0.0,1.0
2537.0,42.0,6.0,150.0,13.0,2489.0,221.0,227.0,142.0,2445.0,0.0,0.0,1.0
2808.0,6.0,11.0,607.0,76.0,3391.0,207.0,219.0,149.0,2713.0,0.0,0.0,1.0
2780.0,313.0,11.0,150.0,10.0,1593.0,190.0,232.0,181.0,1524.0,0.0,0.0,1.0
2804.0,25.0,21.0,268.0,17.0,2977.0,205.0,189.0,114.0,2347.0,0.0,0.0,1.0
2748.0,6.0,17.0,127.0,19.0,874.0,197.0,205.0,142.0,1972.0,0.0,0.0,1.0
2820.0,8.0,21.0,382.0,7.0,3157.0,190.0,192.0,134.0,2448.0,0.0,0.0,1.0
2767.0,13.0,19.0,402.0,50.0,3423.0,198.0,197.0,132.0,2898.0,0.0,0.0,1.0
2532.0,60.0,8.0,108.0,8.0,2468.0,226.0,224.0,132.0,2408.0,0.0,0.0,1.0
2779.0,3.0,19.0,175.0,37.0,947.0,190.0,199.0,143.0,1932.0,0.0,0.0,1.0
2812.0,18.0,23.0,339.0,27.0,2713.0,195.0,184.0,118.0,120.0,0.0,0.0,1.0
2831.0,95.0,16.0,362.0,113.0,2522.0,244.0,215.0,96.0,300.0,0.0,0.0,1.0
2776.0,32.0,18.0,497.0,67.0,3331.0,212.0,197.0,114.0,2797.0,0.0,0.0,1.0
2697.0,16.0,20.0,470.0,-44.0,2970.0,198.0,193.0,127.0,2553.0,0.0,0.0,1.0
2757.0,7.0,18.0,150.0,25.0,902.0,196.0,202.0,140.0,1947.0,0.0,0.0,1.0
2776.0,352.0,21.0,124.0,13.0,1537.0,180.0,200.0,155.0,1513.0,0.0,0.0,1.0
2738.0,23.0,17.0,391.0,51.0,3337.0,207.0,201.0,125.0,2896.0,0.0,0.0,1.0
2800.0,67.0,10.0,210.0,45.0,1624.0,230.0,221.0,123.0,1338.0,0.0,0.0,1.0
2823.0,17.0,15.0,408.0,25.0,2670.0,207.0,208.0,135.0,150.0,0.0,0.0,1.0
2795.0,343.0,18.0,162.0,32.0,1570.0,181.0,211.0,166.0,1471.0,0.0,0.0,1.0
2811.0,37.0,18.0,488.0,-1.0,3243.0,216.0,197.0,110.0,2550.0,0.0,0.0,1.0
2845.0,5.0,17.0,497.0,32.0,3341.0,196.0,205.0,143.0,2512.0,0.0,0.0,1.0
2764.0,24.0,21.0,120.0,21.0,1550.0,204.0,191.0,116.0,1358.0,0.0,0.0,1.0
2798.0,320.0,8.0,201.0,35.0,1604.0,199.0,233.0,173.0,1429.0,0.0,0.0,1.0
2758.0,0.0,14.0,42.0,4.0,870.0,199.0,214.0,151.0,2090.0,0.0,0.0,1.0
