feature,importance_rf
Text_Coverage,0.10454772716416592
LinearGuidance,0.08533253331435314
WordPicture,0.06368354977741797
Interacting,0.060406184791911934
ThinkAhead,0.05805300716820095
InnerThinking,0.05624967886168051
Motion,0.05418633957943864
ThinkPositive,0.052011959959257247
ThinkNegative,0.05184634774608554
Share_SocTies,0.05161431436520404
Reasoning,0.04832601571760955
PastEvents,0.04577096322131222
SpaceInterval,0.04575620524121659
ThinkBack,0.039825844833342214
Notifying,0.03946722210039845
FirstPerson,0.03806428811319062
TimeInterval,0.037622003263569764
ShiftingEvents,0.03761697564356117
Direct_Activity,0.029618839138083688
