V1,V2,V3,V4
369.28,0.0,7.5048,5.8295
33.99,-0.040861,7.3958,0.84446
530.05,0.14982,11.182,-1.6481
163.95,-0.57205,7.9679,7.9679
48.359,1.3076,7.2733,1.185
217.19,-1.9477,8.6898,3.6366
131.25,-5.3256,6.9328,1.2258
70.48,2.4108,7.2052,-4.5628
505.31,-1.7979,8.0769,-1.4574
333.43,0.10896,13.566,-1.3757
346.97,-0.84446,6.5105,0.14982
99.569,-0.46309,14.206,1.4165
146.62,2.0703,9.2755,-0.95342
159.31,-0.65378,8.9213,1.2667
439.32,-1.6889,9.6977,-3.4868
42.129,-2.7241,10.079,-1.4982
11.14,-2.6832,11.223,2.0703
76.229,1.185,10.692,1.4982
259.05,-6.1292,10.801,-1.3348
500.62,-1.6481,6.7012,-0.10896
104.44,-5.1349,9.4661,-0.34051
112.75,-3.1735,7.0553,0.10896
195.75,-3.909,11.645,-2.7922
246.98,0.14982,8.8941,3.2144
601.35,5.1757,6.6331,3.8273
62.779,-1.9205,5.7069,1.1441
100.94,-2.7513,8.1177,-0.88532
32.07,-1.6072,8.7715,0.76274
189.05,-3.9771,13.988,-1.0351
25.78,-1.4574,3.8682,3.8682
544.32,0.72188,7.8862,-0.88532
198.87,-2.3018,10.692,-1.9205
92.32,-2.0294,10.883,-0.50395
43.2,0.8036,6.4697,-0.14982
23.45,2.0294,10.079,-1.4165
634.76,-1.185,11.536,1.5663
4.0403,6.1292,7.8589,-6.0883
9.5463,-4.0589,-1.4574,-2.2201
44.907,-2.261,12.912,-1.4165
181.12,-7.6955,13.062,-0.84446
349.34,-7.9679,16.44,-2.7922
46.94,0.95342,8.1586,1.9477
24.6,-3.7865,9.1529,0.72188
604.02,-0.76274,7.927,-1.1169
89.15,-4.8216,10.883,1.5663
203.15,-3.2144,10.12,-0.23155
197.37,2.0703,10.147,-1.3757
267.28,0.14982,8.7715,-0.19068
606.72,-0.46309,8.4991,0.69464
207.1,-5.9793,2.9148,5.2166
94.082,-1.6889,8.3901,3.2961
478.92,-2.7922,5.7478,2.1793
39.887,-3.5277,12.367,1.6481
40.6,0.31327,14.097,1.3348
581.64,0.42223,5.5571,-1.2258
114.46,-6.0474,8.9213,-2.3427
128.21,-1.5663,5.9385,8.4991
528.54,-8.5808,14.056,0.31327
71.77,-0.42223,9.616,0.14982
469.96,-2.9148,4.9442,-0.040861
329.35,-6.5105,8.0496,0.69464
160.89,-3.0237,8.5808,-1.4574
93.12,-3.4459,8.9622,-0.50395
51.34,3.1054,10.61,0.99429
94.13,-1.2667,5.9385,7.7364
81.96,-0.27241,10.188,1.5663
58.62,-0.95342,9.1529,-1.7298
69.679,1.9886,6.9736,-4.4402
46.649,-0.19068,7.246,-1.3757
56.62,-2.9556,8.6217,-0.34051
645.3,0.61292,4.6309,0.92618
55.729,0.53119,6.9328,0.61292
198.86,-0.72188,7.464,-0.19068
180.43,-0.91256,9.1529,-0.57205
71.81,-3.1735,7.7772,-0.040861
14.0,-2.5606,6.851,0.65378
127.04,-5.1757,11.305,-2.5334
104.89,-10.079,4.8216,-0.91256
108.57,-6.5105,3.4868,-1.8796
75.58,-3.2144,6.8238,-3.2961
349.61,-1.4982,7.3958,4.522
189.72,-1.1169,9.6977,-1.185
0.66998,0.31327,6.17,6.3607
232.47,-1.3348,8.431,4.3721
43.11,1.4574,8.0769,-2.4925
182.04,0.23155,5.3256,6.7012
238.48,-1.5663,8.7715,3.6775
128.35,-0.53119,9.4253,-0.99429
410.29,-0.95342,6.17,7.5865
94.03,-7.355,12.258,2.6015
469.7,0.0,8.2812,-0.65378
246.54,-5.1757,10.338,-5.1757
4.5997,0.19068,9.0848,-0.99429
97.79,1.076,9.3027,-4.3994
33.17,-4.0589,8.3084,0.34051
313.54,-1.3076,8.3901,-0.53119
97.243,-3.7592,5.2847,1.076
21.809,0.46309,9.6568,0.31327
50.39,-3.4459,6.9328,1.7979
25.54,-2.9148,6.3607,-0.57205
92.15,-1.076,8.8124,0.040861
610.73,-7.5457,11.223,-0.50395
46.641,0.23155,5.2438,7.6683
82.253,-6.4016,10.079,1.5391
75.38,-1.1169,8.2403,-1.6889
4.0952,-3.4868,6.6604,9.0848
84.399,2.5334,8.54,1.4165
200.85,-2.1112,7.5457,-1.4982
38.851,-0.61292,8.6625,2.9148
322.06,-6.1292,7.6274,0.65378
34.369,0.081722,13.212,0.040861
132.74,12.912,3.6366,3.6366
317.44,-5.2438,4.985,-3.1735
631.9,0.31327,13.634,1.1441
85.692,-3.909,9.507,0.42223
78.429,1.4574,5.8567,-0.040861
197.16,-6.6604,12.572,0.95342
26.23,-3.7592,7.2733,0.31327
89.25,0.61292,7.355,-1.1169
95.369,-0.57205,5.8976,8.0769
135.8,-1.8796,8.6898,3.6775
81.26,-3.8273,6.9736,0.14982
143.08,-2.2201,10.229,-1.6481
113.14,1.4165,14.206,0.65378
595.14,1.4165,8.8532,-3.337
121.44,-1.5255,6.0202,7.6274
621.44,0.19068,8.4719,-6.0474
31.709,0.27241,6.9328,3.1463
284.99,-0.65378,9.0439,2.5606
114.47,-3.4459,6.2109,0.53119
25.55,-2.2201,9.003,-5.203
93.529,0.10896,9.2755,1.5663
244.54,-2.4925,9.507,-0.76274
222.74,-1.5255,8.7306,3.5277
283.3,-0.19068,6.1292,-0.38137
9.0002,-2.9148,9.0439,0.38137
598.18,-2.1384,11.754,-2.3018
30.24,-0.23155,6.851,1.3076
96.46,-0.23155,11.645,-0.10896
95.119,-1.185,9.9973,-0.65378
53.89,-1.2258,7.0145,0.57205
143.96,-2.0703,8.4719,2.6015
29.36,-0.76274,10.651,1.7979
78.922,-3.5958,10.501,-0.46309
39.89,-0.69464,14.056,-5.8976
88.809,-0.14982,9.8475,0.57205
55.96,-2.6015,8.9213,-1.6072
199.74,-2.3427,7.464,-0.29965
150.6,-2.8739,6.0883,-0.8036
3.0501,3.2144,6.7012,6.6604
105.87,2.9556,9.3027,-0.19068
95.7,-4.4811,9.003,-0.53119
258.76,-0.46309,5.5162,0.19068
151.66,-0.10896,4.8625,8.4991
462.0,-0.72188,10.379,-0.95342
100.4,-3.7592,7.5048,-3.337
231.93,-0.91256,13.988,-0.76274
398.81,-6.0202,8.8124,2.833
460.26,1.6481,10.61,-3.1463
212.1,-2.833,7.8181,-0.081722
17.72,-4.7535,13.634,2.7649
67.732,-1.8387,8.7715,3.5958
