feature,importance_rf
absRoll,0.36729110664973164
p,0.10002717977613734
SeTime1,0.09647204741034915
SeTime3,0.07207563351957563
SeTime2,0.045297969698990935
curRoll,0.044940550924073
SeTime4,0.04300566735447604
SeTime6,0.03094804284931707
SeTime5,0.030934750885214517
SeTime7,0.024774238538619757
diffRollRate,0.023883233850194037
q,0.013204585157786828
Sgz,0.011792911718194942
diffClb,0.01159082308632067
SeTime9,0.011122969549013362
climbRate,0.009062810070916373
SeTime11,0.008581955994419884
SeTime10,0.008472963315865915
curPitch,0.007679583985507875
SeTime8,0.00751178808362027
diffDiffClb,0.0070956337952242645
SeTime14,0.004356805924958892
SeTime12,0.0042296308752244735
SeTime13,0.004030021578538177
Se,0.003588007610911026
diffSeTime1,0.0016329898550964483
alpha,0.0014153761828277838
diffSeTime11,0.0012133252367854846
diffSeTime9,0.0011105611990028215
diffSeTime7,0.001067844555252613
diffSeTime13,0.001062779715856296
diffSeTime5,0.00031071645088810647
diffSeTime3,0.0002154946011084559
diffSeTime2,0.0
diffSeTime4,0.0
diffSeTime6,0.0
diffSeTime8,0.0
diffSeTime10,0.0
diffSeTime12,0.0
diffSeTime14,0.0
