lon,lat,med_age,total_rooms,total_beds,population,households,med_income
-118.12,33.94,31.0,2210.0,519.0,1047.0,472.0,3.3292
-119.07,35.34,16.0,4201.0,786.0,1667.0,724.0,4.8839
-118.46,33.99,37.0,1828.0,460.0,1075.0,453.0,4.337
-118.29,34.05,40.0,907.0,349.0,1426.0,323.0,1.8571
-118.34,34.05,50.0,2009.0,419.0,1130.0,402.0,3.1944
-118.66,35.2,7.0,9664.0,1692.0,3617.0,1370.0,4.0581
-118.44,34.22,41.0,1582.0,399.0,1159.0,378.0,2.825
-122.51,37.99,32.0,4138.0,632.0,1541.0,626.0,5.5791
-121.35,38.6,27.0,4314.0,611.0,1662.0,575.0,5.0997
-117.88,34.14,32.0,1764.0,365.0,924.0,329.0,3.875
-122.23,37.79,40.0,930.0,199.0,564.0,184.0,1.3281
-122.0,37.36,19.0,2237.0,433.0,1158.0,426.0,6.7718
-121.82,37.25,24.0,3344.0,531.0,1768.0,541.0,5.8305
-116.73,34.52,16.0,1247.0,315.0,433.0,159.0,1.0568
-117.59,33.65,2.0,4860.0,1193.0,2332.0,1073.0,4.5022
-121.27,37.82,26.0,1170.0,238.0,830.0,216.0,2.6458
-122.04,37.97,39.0,1323.0,245.0,705.0,261.0,3.1968
-118.28,33.98,19.0,883.0,313.0,726.0,277.0,0.9809
-115.55,32.98,33.0,2266.0,365.0,952.0,360.0,5.4349
-118.38,33.95,35.0,3259.0,967.0,2003.0,920.0,3.2708
-117.68,33.63,16.0,5218.0,1187.0,2701.0,1125.0,3.929
-118.28,33.91,41.0,620.0,133.0,642.0,162.0,2.6546
-117.98,34.02,32.0,2945.0,651.0,2044.0,652.0,3.1979
-117.75,34.07,52.0,1548.0,348.0,1131.0,343.0,2.63
-117.65,34.12,17.0,3006.0,427.0,1291.0,406.0,6.2083
-122.6,38.24,16.0,1410.0,209.0,741.0,229.0,4.725
-121.89,37.3,46.0,2639.0,448.0,938.0,424.0,5.0662
-120.97,37.68,16.0,2349.0,446.0,1302.0,392.0,3.1625
-121.07,39.2,45.0,204.0,62.0,133.0,51.0,1.0
-117.74,34.04,27.0,2215.0,440.0,1987.0,449.0,3.0429
-121.58,39.76,18.0,1676.0,332.0,733.0,318.0,1.7875
-121.9,37.45,16.0,2952.0,446.0,1525.0,460.0,5.6063
-117.93,33.82,28.0,2444.0,555.0,1848.0,567.0,3.0179
-118.61,34.23,26.0,3727.0,572.0,1724.0,530.0,6.1419
-121.26,38.14,10.0,3371.0,665.0,1823.0,654.0,3.5333
-121.69,36.8,19.0,2164.0,410.0,1309.0,426.0,3.338
-117.11,32.75,18.0,1943.0,587.0,1329.0,522.0,1.7696
-122.0,39.94,27.0,852.0,176.0,464.0,148.0,1.7125
-118.58,34.17,29.0,3393.0,574.0,1471.0,587.0,6.2064
-117.2,32.79,16.0,2079.0,394.0,746.0,383.0,5.0958
-118.43,34.2,28.0,3386.0,815.0,2240.0,737.0,3.0221
-122.16,38.02,40.0,1800.0,290.0,761.0,277.0,5.1265
-118.08,33.86,29.0,3260.0,783.0,1969.0,737.0,3.5268
-121.57,37.02,17.0,2889.0,624.0,2681.0,608.0,2.9417
-122.48,37.69,33.0,2347.0,512.0,1259.0,481.0,3.4492
-118.12,33.87,21.0,3764.0,1081.0,1919.0,977.0,2.5057
-122.14,37.69,38.0,1571.0,317.0,874.0,301.0,4.4659
-115.53,32.97,35.0,1583.0,340.0,933.0,318.0,2.4063
-119.71,36.83,5.0,1087.0,338.0,623.0,362.0,1.8061
-118.9,34.4,16.0,2614.0,575.0,1163.0,524.0,1.5781
-117.92,33.65,25.0,1679.0,470.0,1314.0,473.0,4.1026
-122.2,38.09,18.0,6860.0,1079.0,3205.0,1058.0,5.2957
-121.34,38.55,11.0,2838.0,498.0,1701.0,504.0,4.1447
-122.18,37.76,43.0,2018.0,408.0,1111.0,367.0,1.8913
-118.24,34.16,52.0,850.0,162.0,493.0,160.0,6.9408
-118.17,33.8,26.0,1589.0,380.0,883.0,366.0,3.5313
-121.37,38.66,9.0,3184.0,779.0,1929.0,769.0,2.3844
-118.38,34.08,48.0,1226.0,288.0,370.0,264.0,3.9375
-118.12,34.09,25.0,4870.0,1371.0,3518.0,1296.0,3.2307
-118.34,33.87,28.0,2948.0,566.0,1445.0,524.0,5.3743
-117.66,34.06,39.0,1405.0,339.0,1489.0,336.0,1.608
-122.42,37.77,52.0,4226.0,1315.0,2619.0,1242.0,2.5755
-118.1,34.06,36.0,1463.0,369.0,1492.0,366.0,3.25
-117.54,34.55,5.0,2949.0,671.0,1620.0,530.0,2.9479
-117.09,32.91,16.0,2005.0,266.0,827.0,270.0,7.0546
-118.21,33.94,34.0,710.0,205.0,1134.0,233.0,2.7734
-117.11,32.77,50.0,1729.0,355.0,617.0,337.0,3.6705
-122.04,37.67,29.0,1694.0,251.0,690.0,242.0,6.0501
-118.11,33.84,37.0,1588.0,272.0,692.0,245.0,4.8594
-118.42,34.01,42.0,1594.0,369.0,952.0,362.0,3.099
-118.17,34.68,13.0,5341.0,773.0,2288.0,724.0,6.6772
-118.3,33.9,19.0,2421.0,689.0,1726.0,660.0,3.287
-118.85,34.14,16.0,4109.0,543.0,1409.0,560.0,8.1064
-118.25,34.14,13.0,3487.0,1131.0,3749.0,1072.0,2.1602
-117.97,33.86,34.0,2138.0,490.0,1682.0,463.0,3.6006
-122.5,37.75,44.0,1819.0,365.0,1137.0,354.0,3.4919
-117.19,33.41,16.0,3031.0,554.0,1301.0,518.0,4.0882
-121.66,37.13,20.0,4477.0,924.0,2656.0,871.0,3.8788
-122.61,41.74,15.0,4206.0,922.0,1863.0,869.0,2.0591
-119.9,36.2,43.0,187.0,38.0,106.0,40.0,1.875
-116.19,33.69,11.0,5692.0,1346.0,5682.0,1273.0,2.5383
-121.82,37.26,10.0,3030.0,574.0,1623.0,589.0,5.1356
-121.95,37.28,52.0,777.0,148.0,362.0,144.0,4.0208
-118.48,34.02,29.0,1585.0,542.0,1019.0,487.0,2.7072
-117.06,32.75,34.0,2516.0,611.0,1317.0,594.0,2.2308
-122.43,37.43,17.0,11999.0,2249.0,5467.0,1989.0,4.8405
-121.11,37.76,22.0,2606.0,411.0,1252.0,397.0,4.1833
-118.26,33.97,47.0,1504.0,374.0,1168.0,358.0,1.4625
-119.81,36.77,43.0,2341.0,395.0,890.0,375.0,3.4265
-118.1,33.79,35.0,2370.0,379.0,996.0,380.0,5.7368
-116.76,32.84,16.0,3311.0,702.0,1627.0,624.0,3.1196
-118.37,34.03,43.0,1350.0,287.0,811.0,307.0,3.3636
-118.91,34.4,30.0,2861.0,613.0,2065.0,586.0,3.2024
-116.95,33.74,18.0,1996.0,405.0,1270.0,400.0,2.7083
-122.18,37.8,23.0,2317.0,336.0,955.0,328.0,6.7527
-121.2,37.8,37.0,311.0,61.0,171.0,54.0,4.0972
-121.91,36.62,30.0,724.0,167.0,325.0,155.0,3.3333
-118.09,33.95,36.0,1991.0,396.0,1306.0,403.0,4.5
-118.04,33.83,20.0,1488.0,312.0,972.0,283.0,4.055
-117.16,34.9,16.0,1579.0,327.0,934.0,298.0,2.7305
-119.63,36.7,42.0,1338.0,215.0,617.0,222.0,3.0833
-117.97,34.07,22.0,1438.0,364.0,1325.0,335.0,2.7802
-118.17,33.78,29.0,2920.0,962.0,3580.0,772.0,1.7393
-118.01,33.86,29.0,2307.0,452.0,1218.0,402.0,3.4306
-122.08,37.35,35.0,1347.0,207.0,548.0,189.0,7.7068
-122.57,38.27,7.0,6508.0,1028.0,2902.0,1010.0,5.3707
-119.55,36.37,26.0,1912.0,339.0,1002.0,311.0,3.0375
-119.14,34.23,8.0,243.0,75.0,102.0,80.0,2.5714
-122.42,37.76,52.0,4001.0,1084.0,2129.0,1037.0,3.5052
-122.17,37.74,34.0,1223.0,281.0,824.0,280.0,2.2917
-121.56,39.1,28.0,2130.0,484.0,1195.0,439.0,1.3631
-121.87,38.02,52.0,2264.0,439.0,1403.0,476.0,2.7083
-117.28,33.2,11.0,1472.0,261.0,1012.0,285.0,4.21
-119.06,34.36,52.0,1409.0,359.0,981.0,304.0,2.7951
-119.7,36.83,23.0,3532.0,756.0,1885.0,758.0,2.5904
-118.23,34.13,47.0,1162.0,235.0,781.0,268.0,4.6528
-122.61,37.99,40.0,7737.0,1488.0,3108.0,1349.0,4.4375
-123.1,39.15,32.0,1143.0,208.0,454.0,188.0,3.8333
-118.29,34.11,24.0,3696.0,1125.0,1685.0,1031.0,2.3789
-118.1,34.0,32.0,2122.0,591.0,1929.0,539.0,2.7311
-117.91,33.78,26.0,4297.0,1037.0,3596.0,967.0,3.045
-121.88,37.33,45.0,1192.0,371.0,1084.0,345.0,2.8594
-118.16,33.85,36.0,1979.0,339.0,952.0,339.0,4.0815
-118.38,34.05,52.0,1241.0,210.0,526.0,214.0,4.4191
-118.28,33.73,52.0,2085.0,588.0,1767.0,516.0,2.1935
-117.75,33.6,5.0,4944.0,1164.0,1727.0,948.0,4.9
-121.01,37.74,14.0,2368.0,297.0,796.0,301.0,8.7783
-122.9,38.28,52.0,1275.0,218.0,627.0,185.0,2.3482
-118.45,34.08,52.0,1500.0,176.0,384.0,145.0,7.1576
-117.36,33.92,7.0,9376.0,1181.0,3570.0,1107.0,8.5326
