carat,depth,table,x,y,z,cut_Good,cut_Ideal,cut_Premium,cut_Very Good,color_E,color_F,color_G,color_H,color_I,color_J,clarity_IF,clarity_SI1,clarity_SI2,clarity_VS1,clarity_VS2,clarity_VVS1,clarity_VVS2
0.9,62.6,58.0,6.1,6.14,3.83,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
0.32,61.1,55.0,4.42,4.45,2.71,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
0.32,61.2,56.0,4.41,4.45,2.71,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
0.43,61.1,58.0,4.84,4.88,2.97,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
0.32,61.4,60.0,4.42,4.38,2.7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
0.3,62.6,57.0,4.27,4.29,2.68,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
0.78,61.5,57.0,5.88,5.92,3.63,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
1.02,63.4,57.0,6.41,6.43,4.07,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
1.32,61.7,59.0,7.03,7.06,4.35,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
2.01,62.9,54.0,8.03,8.07,5.06,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
0.6,62.0,56.0,5.4,5.43,3.36,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1.2,59.7,63.0,6.84,6.87,4.09,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0.25,61.6,57.0,4.05,4.07,2.5,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
0.31,61.0,57.0,4.41,4.38,2.68,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.01,62.2,56.0,6.4,6.46,4.0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1.01,61.3,61.0,6.34,6.38,3.9,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
0.57,62.2,55.0,5.33,5.35,3.32,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
