feature,importance_rf
y,0.31212430321004947
x,0.2398409854684791
carat,0.21575242337708286
z,0.15911714308369013
clarity_SI2,0.014204828820280468
color_J,0.006433904057808183
clarity_VVS2,0.006341347974585245
clarity_SI1,0.0059962170076658956
clarity_VVS1,0.005181546282001973
depth,0.004818630441209576
clarity_IF,0.00439107114083027
color_I,0.00438977563508516
table,0.003300475364414556
clarity_VS2,0.0029979252162824896
color_H,0.002751455753238984
clarity_VS1,0.0027152759619200784
color_E,0.0022258136591776618
color_G,0.002172004980661581
color_F,0.001875115899011186
cut_Premium,0.0014497441795000416
cut_Ideal,0.0014025338978430483
cut_Very Good,0.00029983183874061545
cut_Good,0.00021764675044146802
