LATITUDE,LONGITUDE,LND_SQFOOT,TOT_LVG_AREA,SPEC_FEAT_VAL,RAIL_DIST,OCEAN_DIST,WATER_DIST,CNTR_DIST,SUBCNTR_DI,HWY_DIST,age,avno60plus_1,month_sold_2,month_sold_3,month_sold_4,month_sold_5,month_sold_6,month_sold_7,month_sold_8,month_sold_9,month_sold_10,month_sold_11,month_sold_12,structure_quality_2,structure_quality_3,structure_quality_4,structure_quality_5
25.8752846862,-80.3249223214,4016.0,1284.0,1551.0,6770.0,60255.2,5410.5,56321.5,50595.1,523.2,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
25.5169488338,-80.3848546761,5000.0,1558.0,1096.0,19270.3,15986.9,12163.8,113608.5,66572.4,4534.2,27,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
25.7467587966,-80.3610659072,5125.0,1321.0,8985.0,12956.0,38738.1,10085.6,56429.1,26335.3,7711.9,37,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
25.872975219,-80.2318771161,43575.0,4332.0,7553.0,6330.7,36671.7,1120.0,37084.3,37084.3,7572.8,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
25.5465543855,-80.3661890351,5000.0,2311.0,0.0,9306.4,13002.4,3969.5,101252.4,54381.4,1116.1,11,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
25.7370185749,-80.3592785941,7875.0,1373.0,5406.0,12797.8,37222.8,12032.8,56648.4,23174.0,8202.6,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25.7537892282,-80.2990333943,5952.0,1211.0,4765.0,2852.2,21806.3,5496.3,35937.2,13339.3,6835.7,68,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
25.4679846694,-80.4222821939,6269.0,2578.0,0.0,18592.7,26963.4,15627.4,135260.6,87735.1,5960.7,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
25.8743937602,-80.1993355861,9225.0,1491.0,320.0,6339.5,25980.9,4449.4,35527.8,35527.8,3050.0,64,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
25.9211735356,-80.1835830925,8438.0,1540.0,19181.0,7425.8,20442.2,5836.6,52567.5,50508.7,7047.9,16,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
25.4705579339,-80.4878220546,7102.0,1075.0,3157.0,441.1,48511.4,24531.1,147707.0,97796.5,7440.8,29,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
25.6899294813,-80.1711872817,7500.0,3557.0,36285.0,25323.1,1180.7,645.4,32253.4,32253.4,25097.3,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
25.85676569,-80.2254544215,8250.0,1240.0,2384.0,5730.4,34982.3,3055.4,30993.2,30993.2,5692.0,67,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
25.7450130327,-80.4084409756,3280.0,1983.0,3162.0,13658.3,53656.3,24741.2,71902.8,37402.7,7806.4,35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
25.6314607035,-80.422512809,4400.0,2162.0,0.0,628.6,38514.0,25870.1,92217.4,41429.7,12363.5,30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
25.9441677404,-80.2158459188,7500.0,1681.0,900.0,4821.9,31578.3,5058.9,61292.2,61292.2,2191.5,30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
25.6267631554,-80.4260698163,4624.0,1576.0,875.0,2310.2,39306.0,25969.3,94157.3,43306.9,13779.0,35,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
25.9267281006,-80.3233506521,3385.0,1404.0,1142.0,21200.4,66472.1,406.8,69392.4,67769.9,1022.6,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
25.5355897907,-80.3971346534,4951.0,1600.0,2907.0,13836.4,21748.3,14393.4,110467.1,61981.7,2921.7,23,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
25.7470668984,-80.3041254115,4200.0,868.0,3006.0,1135.8,21750.3,2607.0,38194.7,14973.1,5151.0,79,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
