feature,importance_rf
TOT_LVG_AREA,0.2934112672703386
OCEAN_DIST,0.14447313354852565
SPEC_FEAT_VAL,0.09726969062619548
structure_quality_5,0.08564663203399146
SUBCNTR_DI,0.07394457074927158
LONGITUDE,0.07114930095869033
CNTR_DIST,0.06176572788777672
LND_SQFOOT,0.04546786076949322
WATER_DIST,0.033234947109338726
LATITUDE,0.02730381941509992
age,0.01919802425641406
HWY_DIST,0.016499029760281055
RAIL_DIST,0.012544153806120579
structure_quality_2,0.009306541068992421
structure_quality_4,0.0078121919141552225
avno60plus_1,0.0003359291838040275
month_sold_5,0.0001370780289359797
month_sold_6,0.0001334252642808443
month_sold_7,0.00010232668628085984
month_sold_9,6.753582675802883e-05
month_sold_4,5.366723283155904e-05
month_sold_3,4.390803102907932e-05
month_sold_12,3.796412032443199e-05
month_sold_10,2.3067181476151995e-05
month_sold_8,1.6396595781952985e-05
month_sold_11,1.4764272682313957e-05
month_sold_2,7.046401129709242e-06
structure_quality_3,0.0
